Datetime,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Hour,Minute,Second
2025-09-29 11:08:00+08:00,3.5999999046325684,3.5999999046325684,3.5899999141693115,3.5899999141693115,3.5899999141693115,15100,2025,9,29,11,8,0
2025-09-29 11:09:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,2100,2025,9,29,11,9,0
2025-09-29 11:10:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,300,2025,9,29,11,10,0
2025-09-29 11:11:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,1100,2025,9,29,11,11,0
2025-09-29 11:12:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,1100,2025,9,29,11,12,0
2025-09-29 11:13:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,1500,2025,9,29,11,13,0
2025-09-29 11:14:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,1100,2025,9,29,11,14,0
2025-09-29 11:15:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,400,2025,9,29,11,15,0
2025-09-29 11:16:00+08:00,3.5899999141693115,3.5899999141693115,3.5799999237060547,3.5799999237060547,3.5799999237060547,900,2025,9,29,11,16,0
2025-09-29 11:17:00+08:00,3.5799999237060547,3.5899999141693115,3.5799999237060547,3.5899999141693115,3.5899999141693115,8500,2025,9,29,11,17,0
2025-09-29 11:18:00+08:00,3.5899999141693115,3.5899999141693115,3.5799999237060547,3.5799999237060547,3.5799999237060547,16600,2025,9,29,11,18,0
2025-09-29 11:19:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,2000,2025,9,29,11,19,0
2025-09-29 11:20:00+08:00,3.5799999237060547,3.5899999141693115,3.5799999237060547,3.5899999141693115,3.5899999141693115,12000,2025,9,29,11,20,0
